0, 13, 0, 0, 0, 8, 0, 7, 10, 0, 0, 16, 0, 1, 0, 4
0, 0, 16, 0, 2, 0, 0, 14, 4, 7, 8, 0, 0, 0, 6, 11
0, 2, 0, 0, 0, 4, 15, 16, 1, 3, 6, 9, 0, 0, 0, 14
0, 0, 8, 6, 0, 0, 11, 0, 2, 5, 0, 0, 0, 0, 10, 0
0, 0, 0, 11, 4, 0, 0, 2, 0, 13, 7, 0, 0, 12, 14, 0
12, 0, 6, 16, 0, 0, 0, 0, 0, 0, 15, 1, 10, 0, 0, 0
7, 1, 10, 4, 14, 16, 8, 0, 6, 11, 12, 0, 0, 13, 0, 15
0, 5, 0, 0, 0, 0, 0, 0, 3, 4, 0, 10, 7, 0, 0, 1
0, 0, 0, 3, 8, 5, 0, 0, 0, 14, 1, 12, 0, 0, 0, 10
0, 6, 7, 14, 0, 12, 0, 4, 0, 0, 2, 3, 0, 8, 9, 0
0, 10, 9, 2, 0, 0, 0, 0, 5, 0, 0, 0, 16, 3, 15, 12 
0, 0, 15, 0, 0, 2, 6, 11, 0, 0, 10, 13, 0, 4, 1, 7
16, 4, 1, 7, 0, 14, 0, 6, 13, 10, 0, 8, 0, 0, 0, 2
6, 11, 5, 0, 0, 0, 0, 10, 12, 2, 3, 4, 0, 14, 7, 9
2, 0, 0, 0, 0, 7, 4, 1, 0, 0, 16, 0, 8, 10, 0, 0
14, 3, 13, 0, 0, 0, 2, 0, 15, 0, 0, 0, 0, 16, 0, 0
