0, 14, 0, 0, 12, 0, 16, 4, 5, 0, 0, 0, 19, 24, 21, 22, 13, 10, 25, 3, 8, 0, 7, 20, 0 
0, 11, 0, 5, 6, 0, 0, 23, 0, 9, 20, 7, 15, 0, 4, 0, 0, 16, 0, 12, 17, 3, 13, 10, 2 
0, 0, 0, 13, 20, 6, 0, 0, 0, 11, 0, 3, 17, 0, 0, 0, 0, 21, 7, 0, 25, 0, 16, 18, 14 
4, 0, 0, 0, 15, 0, 7, 25, 12, 0, 0, 18, 14, 0, 0, 9, 0, 0, 17, 0, 0, 0, 21, 0, 0 
19, 21, 25, 7, 10, 14, 0, 17, 18, 0, 0, 13, 0, 5, 0, 4, 20, 11, 8, 23, 12, 1, 22, 0, 9 
0, 10, 0, 0, 1, 0, 0, 5, 0, 2, 13, 0, 0, 17, 3, 0, 25, 0, 0, 0, 21, 12, 0, 14, 0 
0, 0, 0, 4, 0, 15, 13, 10, 25, 22, 23, 6, 0, 0, 19, 24, 5, 14, 2, 16, 0, 0, 9, 0, 11 
9, 0, 0, 2, 0, 0, 14, 0, 0, 0, 0, 0, 0, 16, 0, 15, 0, 0, 0, 0, 24, 17, 23, 0, 0 
0, 0, 0, 0, 0, 16, 17, 0, 0, 0, 0, 0, 24, 2, 14, 20, 1, 8, 0, 9, 0, 0, 18, 0, 0 
13, 23, 14, 0, 16, 21, 18, 9, 0, 0, 0, 0, 0, 0, 0, 12, 4, 6, 0, 0, 22, 0, 0, 8, 5 
0, 15, 21, 20, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 24, 0, 11, 7, 0, 17, 0, 25 
16, 0, 24, 0, 0, 13, 0, 15, 19, 4, 21, 0, 22, 0, 0, 0, 0, 20, 0, 0, 11, 0, 8, 0, 18 
0, 0, 10, 12, 13, 0, 11, 1, 2, 0, 0, 24, 5, 0, 0, 21, 0, 25, 0, 8, 0, 22, 20, 16, 0 
0, 6, 0, 17, 8, 0, 0, 18, 22, 14, 15, 25, 13, 7, 0, 5, 0, 0, 0, 0, 0, 21, 0, 0, 24 
0, 4, 1, 11, 19, 25, 0, 0, 23, 0, 10, 8, 0, 0, 0, 17, 22, 2, 3, 0, 0, 13, 0, 9, 0 
0, 0, 20, 22, 0, 0, 0, 6, 7, 8, 2, 0, 0, 0, 0, 16, 12, 17, 14, 15, 0, 24, 5, 0, 1 
12, 0, 17, 21, 24, 0, 5, 0, 0, 0, 0, 0, 23, 6, 0, 0, 8, 9, 20, 1, 19, 0, 11, 0, 3 
0, 7, 4, 0, 3, 0, 0, 0, 13, 0, 8, 12, 0, 0, 25, 0, 0, 0, 0, 0, 10, 16, 0, 0, 0 
0, 1, 0, 10, 11, 0, 0, 0, 0, 16, 0, 20, 21, 0, 0, 0, 3, 18, 0, 25, 13, 0, 0, 0, 0 
14, 2, 15, 0, 23, 24, 25, 0, 17, 0, 3, 5, 0, 1, 0, 10, 11, 13, 4, 19, 0, 20, 6, 12, 0 
0, 0, 13, 1, 0, 0, 0, 0, 0, 0, 24, 0, 0, 15, 7, 11, 19, 0, 0, 0, 0, 8, 0, 0, 21 
15, 22, 0, 24, 9, 0, 0, 7, 11, 0, 0, 0, 0, 0, 0, 18, 0, 0, 13, 14, 0, 0, 0, 25, 10 
25, 0, 0, 0, 0, 3, 0, 13, 14, 0, 16, 0, 2, 18, 17, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0 
11, 17, 0, 0, 0, 18, 0, 0, 21, 0, 1, 0, 3, 23, 22, 25, 0, 12, 0, 0, 14, 15, 0, 13, 0 
10, 16, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 0, 15, 0, 21, 20, 18, 4, 17, 7
